# balticporter port map	schema=4	module=sge-ai-test	engine=balticporter/0.1.0-SNAPSHOT	sources=430a6fde5872b03a	files=2	policy=ef7dbe444cd68377	jdk=22
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type		balticporter.runtime.JavaOptionalInt	Added	-		0		
type		balticporter.runtime.JavaOptionalLong	Added	-		0		
type		balticporter.runtime.JavaStack	Added	-		0		
member	com.badlogic.gdx.ai.btree.branch.ParallelTest#<stmt1>	sge.ai.btree.branch.ParallelTest#<stmt1>	Renamed	-	com/badlogic/gdx/ai/btree/branch/ParallelTest.java	47	057f5127e6ecdcb1	
member	com.badlogic.gdx.ai.btree.branch.ParallelTest#<stmt2>	sge.ai.btree.branch.ParallelTest#<stmt2>	Renamed	-	com/badlogic/gdx/ai/btree/branch/ParallelTest.java	82	db6e15b6c6fce7ef	
member	com.badlogic.gdx.ai.btree.branch.ParallelTest#<stmt3>	sge.ai.btree.branch.ParallelTest#<stmt3>	Renamed	-	com/badlogic/gdx/ai/btree/branch/ParallelTest.java	118	c1f5168d2ad9b40d	
member	com.badlogic.gdx.ai.btree.branch.ParallelTest#<stmt4>	sge.ai.btree.branch.ParallelTest#<stmt4>	Renamed	-	com/badlogic/gdx/ai/btree/branch/ParallelTest.java	164	04df770c5fa6ebb5	
member	com.badlogic.gdx.ai.btree.branch.ParallelTest#<stmt5>	sge.ai.btree.branch.ParallelTest#<stmt5>	Renamed	-	com/badlogic/gdx/ai/btree/branch/ParallelTest.java	210	153ce78c4094da11	
member	com.badlogic.gdx.ai.btree.branch.ParallelTest#behaviorTree	sge.ai.btree.branch.ParallelTest#behaviorTree	Renamed	-	com/badlogic/gdx/ai/btree/branch/ParallelTest.java	31	7ecdc85456bddd21	vis=private
member	com.badlogic.gdx.ai.btree.branch.ParallelTest#bpFreshState()	sge.ai.btree.branch.ParallelTest#bpFreshState()	Renamed	-	com/badlogic/gdx/ai/btree/branch/ParallelTest.java	30	feff75e017bc46ee	
member	com.badlogic.gdx.ai.btree.branch.ParallelTest#setUp()	sge.ai.btree.branch.ParallelTest#setUp()	Renamed	-	com/badlogic/gdx/ai/btree/branch/ParallelTest.java	37	55eebdb35cfff70e	
member	com.badlogic.gdx.ai.btree.branch.ParallelTest#task1	sge.ai.btree.branch.ParallelTest#task1	Renamed	-	com/badlogic/gdx/ai/btree/branch/ParallelTest.java	32	964256166ccf7c24	vis=private
member	com.badlogic.gdx.ai.btree.branch.ParallelTest#task2	sge.ai.btree.branch.ParallelTest#task2	Renamed	-	com/badlogic/gdx/ai/btree/branch/ParallelTest.java	33	960886e106fb5d88	vis=private
member	com.badlogic.gdx.ai.btree.branch.ParallelTest#tasks	sge.ai.btree.branch.ParallelTest#tasks	Renamed	-	com/badlogic/gdx/ai/btree/branch/ParallelTest.java	34	4f69748248d29606	vis=private
member	com.badlogic.gdx.ai.btree.branch.ParallelTest$TestTask#copyTo(Task)	sge.ai.btree.branch.ParallelTest$TestTask#copyTo(Task<String>)	Renamed	-	com/badlogic/gdx/ai/btree/branch/ParallelTest.java	253	3b7d8c42e9b50237	
member	com.badlogic.gdx.ai.btree.branch.ParallelTest$TestTask#execute()	sge.ai.btree.branch.ParallelTest$TestTask#execute()	Renamed	-	com/badlogic/gdx/ai/btree/branch/ParallelTest.java	247	9c2e13f114f12afd	
member	com.badlogic.gdx.ai.btree.branch.ParallelTest$TestTask#executions	sge.ai.btree.branch.ParallelTest$TestTask#executions	Renamed	-	com/badlogic/gdx/ai/btree/branch/ParallelTest.java	244	e4dc4049e766bd1b	
member	com.badlogic.gdx.ai.btree.branch.ParallelTest$TestTask#status	sge.ai.btree.branch.ParallelTest$TestTask#status	Renamed	-	com/badlogic/gdx/ai/btree/branch/ParallelTest.java	243	f006b5169427f7b0	name=status$shadow
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest#<stmt1>	sge.ai.pfa.indexed.IndexedAStarPathFinderTest#<stmt1>	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	32	b39835179fd9906b	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest#<stmt2>	sge.ai.pfa.indexed.IndexedAStarPathFinderTest#<stmt2>	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	99	5fa85421e9518fbe	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest#<stmt3>	sge.ai.pfa.indexed.IndexedAStarPathFinderTest#<stmt3>	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	141	8cae32981f358bcc	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest#<stmt4>	sge.ai.pfa.indexed.IndexedAStarPathFinderTest#<stmt4>	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	168	b460d939d3015438	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest#<stmt5>	sge.ai.pfa.indexed.IndexedAStarPathFinderTest#<stmt5>	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	205	a402f68ec3efcb38	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest#createGraphFromTextRepresentation(String)	sge.ai.pfa.indexed.IndexedAStarPathFinderTest#createGraphFromTextRepresentation(String)	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	243	931078a41bfe47c4	placement=companion vis=private
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest#createStringTilesFromGraphTextRepresentation(String)	sge.ai.pfa.indexed.IndexedAStarPathFinderTest#createStringTilesFromGraphTextRepresentation(String)	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	288	8f415e4459d6e625	placement=companion vis=private
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$ManhattanDistance#estimate(MyNode,MyNode)	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$ManhattanDistance#estimate(MyNode,MyNode)	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	420	5694965f3c53e713	
