# balticporter port map	schema=2	module=noise4j	engine=balticporter/0.1.0-SNAPSHOT	sources=883167e7e3853c31	files=12
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest
member	com.github.czyzby.noise4j.array.Object2dArray#getArray(int)	sge.noise.Object2dArray#getArray(int)	Renamed	-	com/github/czyzby/noise4j/array/Object2dArray.java	63	41a115251805c2ab
member	com.github.czyzby.noise4j.array.Object2dArray#getObjectArray()	sge.noise.Object2dArray#getObjectArray()	Renamed	-	com/github/czyzby/noise4j/array/Object2dArray.java	74	fbc5854421c962b4
member	com.github.czyzby.noise4j.array.Object2dArray#getOrElse(int,int,Type)	sge.noise.Object2dArray#getOrElse(int,int,Type)	Renamed	-	com/github/czyzby/noise4j/array/Object2dArray.java	98	ca1cf45da840749b
member	com.github.czyzby.noise4j.array.Object2dArray#getOrNull(int,int)	sge.noise.Object2dArray#getOrNull(int,int)	Renamed	-	com/github/czyzby/noise4j/array/Object2dArray.java	89	a7e44118815fe100
member	com.github.czyzby.noise4j.array.Object2dArray#iterator()	sge.noise.Object2dArray#iterator()	Renamed	-	com/github/czyzby/noise4j/array/Object2dArray.java	132	88f1bd9a73196ff1
member	com.github.czyzby.noise4j.array.Object2dArray#newNotTyped(int,int)	sge.noise.Object2dArray#newNotTyped(int,int)	Renamed	-	com/github/czyzby/noise4j/array/Object2dArray.java	51	1c0b3d276321df49
member	com.github.czyzby.noise4j.array.Object2dArray#set(int,int,Type)	sge.noise.Object2dArray#set(int,int,Type)	Renamed	-	com/github/czyzby/noise4j/array/Object2dArray.java	108	9f8e7a14b24fa109
member	com.github.czyzby.noise4j.array.Object2dArray#swap(int,int,int,int)	sge.noise.Object2dArray#swap(int,int,int,int)	Renamed	-	com/github/czyzby/noise4j/array/Object2dArray.java	118	6e397470a574393c
member	com.github.czyzby.noise4j.array.Object2dArray$ArrayIterator#hasNext()	sge.noise.Object2dArray$ArrayIterator#hasNext()	Renamed	-	com/github/czyzby/noise4j/array/Object2dArray.java	145	49c7eac37deb21f9
member	com.github.czyzby.noise4j.array.Object2dArray$ArrayIterator#index	sge.noise.Object2dArray$ArrayIterator#index	Renamed	-	com/github/czyzby/noise4j/array/Object2dArray.java	142	6c7e617b81d65d51
member	com.github.czyzby.noise4j.array.Object2dArray$ArrayIterator#next()	sge.noise.Object2dArray$ArrayIterator#next()	Renamed	-	com/github/czyzby/noise4j/array/Object2dArray.java	150	33abfc508409be47
member	com.github.czyzby.noise4j.array.Object2dArray$ArrayIterator#remove()	sge.noise.Object2dArray$ArrayIterator#remove()	Renamed	-	com/github/czyzby/noise4j/array/Object2dArray.java	158	96a9a196d6c08de8
member	com.github.czyzby.noise4j.array.Object2dArray$ArrayIterator#reset()	sge.noise.Object2dArray$ArrayIterator#reset()	Renamed	-	com/github/czyzby/noise4j/array/Object2dArray.java	166	1454b638d78fd2ff
member	com.github.czyzby.noise4j.array.Object2dArray$ArrayIterator#size	sge.noise.Object2dArray$ArrayIterator#size	Renamed	-	com/github/czyzby/noise4j/array/Object2dArray.java	141	b44ec916fa2eb44d
member	com.github.czyzby.noise4j.map.generator.AbstractGenerator#getMode()	sge.noise.generator.AbstractGenerator#getMode()	Renamed	-	com/github/czyzby/noise4j/map/generator/AbstractGenerator.java	12	8ef17e23f54f18de
member	com.github.czyzby.noise4j.map.generator.AbstractGenerator#mode	sge.noise.generator.AbstractGenerator#mode	Renamed	-	com/github/czyzby/noise4j/map/generator/AbstractGenerator.java	9	64d35bf8122c6bb4
member	com.github.czyzby.noise4j.map.generator.AbstractGenerator#modifyCell(Grid,int,int,float)	sge.noise.generator.AbstractGenerator#modifyCell(Grid,int,int,float)	Renamed	-	com/github/czyzby/noise4j/map/generator/AbstractGenerator.java	28	bc2f7a3f47e37835
member	com.github.czyzby.noise4j.map.generator.AbstractGenerator#setMode(GenerationMode)	sge.noise.generator.AbstractGenerator#setMode(GenerationMode)	Renamed	-	com/github/czyzby/noise4j/map/generator/AbstractGenerator.java	17	112180b2092c8ea8
member	com.github.czyzby.noise4j.map.generator.Generator#generate(Grid)	sge.noise.generator.Generator#generate(Grid)	Renamed	-	com/github/czyzby/noise4j/map/generator/Generator.java	11	a66640720c505ee9
member	com.github.czyzby.noise4j.map.generator.Generator#getMode()	sge.noise.generator.Generator#getMode()	Renamed	-	com/github/czyzby/noise4j/map/generator/Generator.java	14	c375e3e8d8938e96
member	com.github.czyzby.noise4j.map.generator.Generator#setMode(GenerationMode)	sge.noise.generator.Generator#setMode(GenerationMode)	Renamed	-	com/github/czyzby/noise4j/map/generator/Generator.java	17	a52cfcd79d628e68
member	com.github.czyzby.noise4j.map.generator.Generator$GenerationMode#modify(Grid,int,int,float)	sge.noise.generator.Generator$GenerationMode#modify(Grid,int,int,float)	Renamed	-	com/github/czyzby/noise4j/map/generator/Generator.java	63	c27e97197894754f
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#INSTANCE	sge.noise.generator.cellular.CellularAutomataGenerator#INSTANCE	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	22	b336cf7f902048d1
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#aliveChance	sge.noise.generator.cellular.CellularAutomataGenerator#aliveChance	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	26	6303e34cf4e2e9be
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#birthLimit	sge.noise.generator.cellular.CellularAutomataGenerator#birthLimit	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	28	b67d0c3b9316c531
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#consume(Grid,int,int,float)	sge.noise.generator.cellular.CellularAutomataGenerator#consume(Grid,int,int,float)	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	208	0dcfe26a37a0dd46
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#countLivingNeighbors(Grid,int,int)	sge.noise.generator.cellular.CellularAutomataGenerator#countLivingNeighbors(Grid,int,int)	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	258	ffbe20e2b2d52005
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#deathLimit	sge.noise.generator.cellular.CellularAutomataGenerator#deathLimit	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	29	795c6e523811871f
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#generate(Grid)	sge.noise.generator.cellular.CellularAutomataGenerator#generate(Grid)	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	148	05a4b8504f415d61
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#generate(Grid,int)	sge.noise.generator.cellular.CellularAutomataGenerator#generate(Grid,int)	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	38	f265b6a5c26310a7
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#generate(Grid,int,float,boolean)	sge.noise.generator.cellular.CellularAutomataGenerator#generate(Grid,int,float,boolean)	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	49	6b0c44178b8544ce
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#getAliveChance()	sge.noise.generator.cellular.CellularAutomataGenerator#getAliveChance()	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	78	972a007892fb61a6
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#getBirthLimit()	sge.noise.generator.cellular.CellularAutomataGenerator#getBirthLimit()	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	126	d6a108da46651205
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#getDeathLimit()	sge.noise.generator.cellular.CellularAutomataGenerator#getDeathLimit()	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	137	c3173a74531ac422
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#getInstance()	sge.noise.generator.cellular.CellularAutomataGenerator#getInstance()	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	59	ef30bb24f4811202
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#getIterationsAmount()	sge.noise.generator.cellular.CellularAutomataGenerator#getIterationsAmount()	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	67	b4fb5566d7737727
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#getMarker()	sge.noise.generator.cellular.CellularAutomataGenerator#getMarker()	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	113	9403ef856f08c33e
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#getRadius()	sge.noise.generator.cellular.CellularAutomataGenerator#getRadius()	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	100	eebc163e6cbbebe3
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#getTemporaryGrid()	sge.noise.generator.cellular.CellularAutomataGenerator#getTemporaryGrid()	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	203	2f9c91b51a5f897a
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#initiate	sge.noise.generator.cellular.CellularAutomataGenerator#initiate	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	24	f6ac27b398513076
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#initiate(Grid,CellularAutomataGenerator)	sge.noise.generator.cellular.CellularAutomataGenerator#initiate(Grid,CellularAutomataGenerator)	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	174	32065b41927052e8
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#initiate(Grid,float,float)	sge.noise.generator.cellular.CellularAutomataGenerator#initiate(Grid,float,float)	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	188	cac6076700db87e5
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#isAlive(float)	sge.noise.generator.cellular.CellularAutomataGenerator#isAlive(float)	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	250	9452996e5b473cfa
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#isInitiating()	sge.noise.generator.cellular.CellularAutomataGenerator#isInitiating()	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	89	ee2e4c07346d7e17
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#iterationsAmount	sge.noise.generator.cellular.CellularAutomataGenerator#iterationsAmount	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	27	04d78f0140fec848
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#marker	sge.noise.generator.cellular.CellularAutomataGenerator#marker	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	25	b817cc1856e120ad
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#radius	sge.noise.generator.cellular.CellularAutomataGenerator#radius	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	30	49935404eed87015
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#setAlive(int,int)	sge.noise.generator.cellular.CellularAutomataGenerator#setAlive(int,int)	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	224	4e467fa60724745c
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#setAliveChance(float)	sge.noise.generator.cellular.CellularAutomataGenerator#setAliveChance(float)	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	84	20ebc0a7d0a26183
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#setBirthLimit(int)	sge.noise.generator.cellular.CellularAutomataGenerator#setBirthLimit(int)	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	132	f6065278b78ee2c4
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#setDead(int,int)	sge.noise.generator.cellular.CellularAutomataGenerator#setDead(int,int)	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	232	ee29edccb00a2c47
member	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator#setDeathLimit(int)	sge.noise.generator.cellular.CellularAutomataGenerator#setDeathLimit(int)	Renamed	-	com/github/czyzby/noise4j/map/generator/cellular/CellularAutomataGenerator.java	143	20e2a22aca2744b6
