#id	check	kind	owner	path	line	detail
58d3e03678d7	portability(emitted)	java.util.zip.Deflater	com.badlogic.gdx.graphics.PixmapIO$PNG#deflater	../src/com/badlogic/gdx/graphics/PixmapIO.java	194	MemberType — java.util.zip is JVM-only
e2626df4e418	portability(emitted)	java.util.zip.DeflaterOutputStream	deflaterOutput	../src/com/badlogic/gdx/graphics/PixmapIO.java	229	Instantiate — java.util.zip is JVM-only
473f9a5070de	portability(emitted)	java.util.zip.DeflaterOutputStream	deflaterOutput	../src/com/badlogic/gdx/graphics/PixmapIO.java	229	MemberType — java.util.zip is JVM-only
1f82f2e6126a	portability(emitted)	java.util.zip.DeflaterOutputStream	deflaterOutputStream	../src/com/badlogic/gdx/graphics/PixmapIO.java	93	Instantiate — java.util.zip is JVM-only
3750dc8ab2a9	portability(emitted)	java.util.zip.DeflaterOutputStream	deflaterOutputStream	../src/com/badlogic/gdx/graphics/PixmapIO.java	93	MemberType — java.util.zip is JVM-only
dd7c2c051657	portability(emitted)	java.util.zip.GZIPInputStream	com.badlogic.gdx.graphics.glutils.ETC1$ETC1Data#<init>	../src/com/badlogic/gdx/graphics/glutils/ETC1.java	67	Instantiate — java.util.zip is JVM-only
b1bbcad3842a	portability(emitted)	java.util.zip.GZIPInputStream	com.badlogic.gdx.graphics.glutils.KTXTextureData#prepare	../src/com/badlogic/gdx/graphics/glutils/KTXTextureData.java	82	Instantiate — java.util.zip is JVM-only
e399d1c751e0	portability(emitted)	java.util.zip.GZIPInputStream	com.badlogic.gdx.maps.tiled.BaseTmjMapLoader#getTileIds	../src/com/badlogic/gdx/maps/tiled/BaseTmjMapLoader.java	657	Instantiate — java.util.zip is JVM-only
0edf70530c5a	portability(emitted)	java.util.zip.GZIPInputStream	com.badlogic.gdx.maps.tiled.BaseTmxMapLoader#getTileIds	../src/com/badlogic/gdx/maps/tiled/BaseTmxMapLoader.java	703	Instantiate — java.util.zip is JVM-only
8a8bc376de07	portability(emitted)	java.util.zip.GZIPOutputStream	com.badlogic.gdx.graphics.glutils.ETC1$ETC1Data#write	../src/com/badlogic/gdx/graphics/glutils/ETC1.java	109	Instantiate — java.util.zip is JVM-only
4762c826ed63	portability(emitted)	java.util.zip.InflaterInputStream	com.badlogic.gdx.graphics.PixmapIO$CIM#read	../src/com/badlogic/gdx/graphics/PixmapIO.java	129	Instantiate — java.util.zip is JVM-only
817e40c32ca1	portability(emitted)	java.util.zip.InflaterInputStream	com.badlogic.gdx.maps.tiled.BaseTmjMapLoader#getTileIds	../src/com/badlogic/gdx/maps/tiled/BaseTmjMapLoader.java	659	Instantiate — java.util.zip is JVM-only
ee8cfdc3dad3	portability(emitted)	java.util.zip.InflaterInputStream	com.badlogic.gdx.maps.tiled.BaseTmxMapLoader#getTileIds	../src/com/badlogic/gdx/maps/tiled/BaseTmxMapLoader.java	705	Instantiate — java.util.zip is JVM-only
a88a7dc664cd	portability(emitted)	org.junit.rules.TestWatcher	com.badlogic.gdx.utils.JsonMatcherTests#watcher	com/badlogic/gdx/utils/JsonMatcherTests.java	1570	Instantiate — JUnit is JVM-only; cross-platform Scala needs MUnit/utest
7e0c7e4a29cf	portability(emitted)	org.junit.rules.TestWatcher	com.badlogic.gdx.utils.JsonMatcherTests#watcher	com/badlogic/gdx/utils/JsonMatcherTests.java	1570	MemberType — JUnit is JVM-only; cross-platform Scala needs MUnit/utest
2c2e139d39b3	portability(emitted)	org.junit.runner.Description	?#desc	com/badlogic/gdx/utils/JsonMatcherTests.java	1571	MemberType — JUnit is JVM-only; cross-platform Scala needs MUnit/utest
13a5095c0d7a	remediation	observation	java.lang.Thread	-	0	observation — 10 site(s) across 6 declared type(s): com.badlogic.gdx.graphics.profiling.GLErrorListener, com.badlogic.gdx.input.RemoteInput, com.badlogic.gdx.utils.PauseableThread, com.badlogic.gdx.utils.Timer, … (6 total) — no single engine seam covers them; each site is its own decision (accept as JVM-only, drop the type, or hand-port it)
a7a4a1ede7cd	remediation	observation	java.net.InetSocketAddress	-	0	observation — 5 site(s) across 2 declared type(s): com.badlogic.gdx.net.NetJavaServerSocketImpl, com.badlogic.gdx.net.NetJavaSocketImpl — no single engine seam covers them; each site is its own decision (accept as JVM-only, drop the type, or hand-port it)
392e1eaf409e	remediation	observation	java.net.ServerSocket	-	0	observation — 4 site(s) across 2 declared type(s): com.badlogic.gdx.input.RemoteInput, com.badlogic.gdx.net.NetJavaServerSocketImpl — no single engine seam covers them; each site is its own decision (accept as JVM-only, drop the type, or hand-port it)
8ea847fe2023	remediation	observation	java.net.Socket	-	0	observation — 6 site(s) across 3 declared type(s): com.badlogic.gdx.input.RemoteInput, com.badlogic.gdx.input.RemoteSender, com.badlogic.gdx.net.NetJavaSocketImpl — no single engine seam covers them; each site is its own decision (accept as JVM-only, drop the type, or hand-port it)
755b96ad6a40	remediation	observation	java.util.zip.GZIPInputStream	-	0	observation — 4 site(s) across 4 declared type(s): com.badlogic.gdx.graphics.glutils.ETC1, com.badlogic.gdx.graphics.glutils.KTXTextureData, com.badlogic.gdx.maps.tiled.BaseTmjMapLoader, com.badlogic.gdx.maps.tiled.BaseTmxMapLoader — no single engine seam covers them; each site is its own decision (accept as JVM-only, drop the type, or hand-port it)
ca636e313b4f	remediation	observation	java.util.zip.InflaterInputStream	-	0	observation — 3 site(s) across 3 declared type(s): com.badlogic.gdx.graphics.PixmapIO, com.badlogic.gdx.maps.tiled.BaseTmjMapLoader, com.badlogic.gdx.maps.tiled.BaseTmxMapLoader — no single engine seam covers them; each site is its own decision (accept as JVM-only, drop the type, or hand-port it)
2070d9061c70	remediation	substitutions-drop	com.badlogic.gdx.files.FileHandle	-	0	Substitutions(dropTypes = Set("com.badlogic.gdx.files.FileHandle"), inject = List(<dir holding your replacement>))  ·  needs one value from you — all 4 site(s) of 2 JVM-only API(s) are inside this one declared type (java.nio.channels.FileChannel, java.nio.channels.FileChannel$MapMode); 74 other type(s) reference it (com.badlogic.gdx.Audio, com.badlogic.gdx.Files, com.badlogic.gdx.assets.AssetDescriptor, …); 4 of its 63 member(s) touch the API — `Substitutions.dropMethods` on just those members is the smaller seam when nothing calls them ! the replacement must declare the SAME FQN, or every referring type stops compiling
64de5b4414ed	remediation	substitutions-drop	com.badlogic.gdx.graphics.PixmapIO	-	0	Substitutions(dropTypes = Set("com.badlogic.gdx.graphics.PixmapIO"), inject = List(<dir holding your replacement>))  ·  needs one value from you — all 11 site(s) of 4 JVM-only API(s) are inside this one declared type (java.util.zip.CRC32, java.util.zip.CheckedOutputStream, java.util.zip.Deflater, java.util.zip.DeflaterOutputStream); 3 other type(s) reference it (com.badlogic.gdx.graphics.TextureData, com.badlogic.gdx.graphics.g2d.PixmapPackerIO, com.badlogic.gdx.graphics.glutils.FileTextureData) ! the replacement must declare the SAME FQN, or every referring type stops compiling
810f385e1d21	remediation	substitutions-drop	com.badlogic.gdx.graphics.glutils.ETC1	-	0	Substitutions(dropTypes = Set("com.badlogic.gdx.graphics.glutils.ETC1"), inject = List(<dir holding your replacement>))  ·  needs one value from you — all 1 site(s) of 1 JVM-only API(s) are inside this one declared type (java.util.zip.GZIPOutputStream); 2 other type(s) reference it (com.badlogic.gdx.graphics.glutils.ETC1TextureData, com.badlogic.gdx.graphics.glutils.KTXTextureData); 2 of its 23 member(s) touch the API — `Substitutions.dropMethods` on just those members is the smaller seam when nothing calls them ! the replacement must declare the SAME FQN, or every referring type stops compiling
d2d172fbdf83	remediation	substitutions-drop	com.badlogic.gdx.input.RemoteInput	-	0	Substitutions(dropTypes = Set("com.badlogic.gdx.input.RemoteInput"))  ·  high — all 3 site(s) of 1 JVM-only API(s) are inside this one declared type (java.net.InetAddress), and no other unit in this port references it — it can be dropped outright ! verify the drop with SubstitutionCheck: a reference left behind is a dangling type, not a smaller number
ee3ee7f86579	remediation	substitutions-drop	com.badlogic.gdx.net.HttpParametersUtils	-	0	Substitutions(dropTypes = Set("com.badlogic.gdx.net.HttpParametersUtils"), inject = List(<dir holding your replacement>))  ·  needs one value from you — all 1 site(s) of 1 JVM-only API(s) are inside this one declared type (java.net.URLEncoder); 1 other type(s) reference it (com.badlogic.gdx.net.HttpRequestBuilder); 1 of its 6 member(s) touch the API — `Substitutions.dropMethods` on just those members is the smaller seam when nothing calls them ! the replacement must declare the SAME FQN, or every referring type stops compiling
9dc140c1a3ec	remediation	substitutions-drop	com.badlogic.gdx.utils.AtomicQueue	-	0	Substitutions(dropTypes = Set("com.badlogic.gdx.utils.AtomicQueue"), inject = List(<dir holding your replacement>))  ·  needs one value from you — all 7 site(s) of 2 JVM-only API(s) are inside this one declared type (java.util.concurrent.atomic.AtomicInteger, java.util.concurrent.atomic.AtomicReferenceArray); 1 other type(s) reference it (com.badlogic.gdx.utils.AtomicQueueTest); 4 of its 7 member(s) touch the API ! the replacement must declare the SAME FQN, or every referring type stops compiling
2e9a8cf0d967	remediation	substitutions-drop	com.badlogic.gdx.utils.JsonMatcherTests	-	0	Substitutions(dropTypes = Set("com.badlogic.gdx.utils.JsonMatcherTests"))  ·  high — all 3 site(s) of 2 JVM-only API(s) are inside this one declared type (org.junit.rules.TestWatcher, org.junit.runner.Description), and no other unit in this port references it — it can be dropped outright ! verify the drop with SubstitutionCheck: a reference left behind is a dangling type, not a smaller number
7c8d52e7a85d	remediation	substitutions-drop	com.badlogic.gdx.utils.SortTest	-	0	Substitutions(dropTypes = Set("com.badlogic.gdx.utils.SortTest"))  ·  high — all 12 site(s) of 2 JVM-only API(s) are inside this one declared type (java.lang.Class#getDeclaredField, java.lang.reflect.Field), and no other unit in this port references it — it can be dropped outright ! verify the drop with SubstitutionCheck: a reference left behind is a dangling type, not a smaller number
b76ad4579091	remediation	substitutions-drop	com.badlogic.gdx.utils.async.AsyncExecutor	-	0	Substitutions(dropTypes = Set("com.badlogic.gdx.utils.async.AsyncExecutor"), inject = List(<dir holding your replacement>))  ·  needs one value from you — all 5 site(s) of 5 JVM-only API(s) are inside this one declared type (java.util.concurrent.Callable, java.util.concurrent.ExecutorService, java.util.concurrent.Executors, java.util.concurrent.ThreadFactory, java.util.concurrent.TimeUnit); 2 other type(s) reference it (com.badlogic.gdx.assets.AssetLoadingTask, com.badlogic.gdx.assets.AssetManager) ! the replacement must declare the SAME FQN, or every referring type stops compiling
bc3c050a132b	remediation	substitutions-drop	com.badlogic.gdx.utils.async.AsyncResult	-	0	Substitutions(dropTypes = Set("com.badlogic.gdx.utils.async.AsyncResult"), inject = List(<dir holding your replacement>))  ·  needs one value from you — all 3 site(s) of 2 JVM-only API(s) are inside this one declared type (java.util.concurrent.ExecutionException, java.util.concurrent.Future); 2 other type(s) reference it (com.badlogic.gdx.assets.AssetLoadingTask, com.badlogic.gdx.utils.async.AsyncExecutor); 3 of its 4 member(s) touch the API ! the replacement must declare the SAME FQN, or every referring type stops compiling
