# balticporter port map	schema=4	module=sge-l0-test	engine=balticporter/0.1.0-SNAPSHOT	sources=a7e5379c527be82c	files=29	policy=83e15bcaa80f1669	jdk=22
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
member	com.badlogic.gdx.math.RectangleTest#<stmt2>	lowlevel.math.RectangleTest#<stmt2>	Renamed	-	com/badlogic/gdx/math/RectangleTest.java	15	b698864ac5a2c205	
member	com.badlogic.gdx.math.Shape2DTest#<stmt1>	lowlevel.math.Shape2DTest#<stmt1>	Renamed	-	com/badlogic/gdx/math/Shape2DTest.java	12	a3527fbfcc949bd2	
member	com.badlogic.gdx.math.Shape2DTest#<stmt2>	lowlevel.math.Shape2DTest#<stmt2>	Renamed	-	com/badlogic/gdx/math/Shape2DTest.java	31	4cdf6ae337738704	
member	com.badlogic.gdx.math.Vector2Test#<stmt1>	lowlevel.math.Vector2Test#<stmt1>	Renamed	-	com/badlogic/gdx/math/Vector2Test.java	10	24d8c1fec349e595	
member	com.badlogic.gdx.math.Vector2Test#<stmt2>	lowlevel.math.Vector2Test#<stmt2>	Renamed	-	com/badlogic/gdx/math/Vector2Test.java	15	029c57b83b05e909	
member	com.badlogic.gdx.math.Vector2Test#<stmt3>	lowlevel.math.Vector2Test#<stmt3>	Renamed	-	com/badlogic/gdx/math/Vector2Test.java	20	8620e1d00c66ba94	
member	com.badlogic.gdx.math.Vector2Test#<stmt4>	lowlevel.math.Vector2Test#<stmt4>	Renamed	-	com/badlogic/gdx/math/Vector2Test.java	25	a930cb411e539b7a	
member	com.badlogic.gdx.math.Vector2Test#<stmt5>	lowlevel.math.Vector2Test#<stmt5>	Renamed	-	com/badlogic/gdx/math/Vector2Test.java	30	118e04c02f0dd1c4	
member	com.badlogic.gdx.math.Vector2Test#<stmt6>	lowlevel.math.Vector2Test#<stmt6>	Renamed	-	com/badlogic/gdx/math/Vector2Test.java	35	9d86ac47503c0c7f	
member	com.badlogic.gdx.math.Vector2Test#<stmt7>	lowlevel.math.Vector2Test#<stmt7>	Renamed	-	com/badlogic/gdx/math/Vector2Test.java	40	e0a77beeba538422	
member	com.badlogic.gdx.math.Vector2Test#<stmt8>	lowlevel.math.Vector2Test#<stmt8>	Renamed	-	com/badlogic/gdx/math/Vector2Test.java	45	e364ae7c2da9b475	
member	com.badlogic.gdx.math.Vector3Test#<stmt1>	lowlevel.math.Vector3Test#<stmt1>	Renamed	-	com/badlogic/gdx/math/Vector3Test.java	10	46e245bf3821f1b4	
member	com.badlogic.gdx.math.Vector3Test#<stmt2>	lowlevel.math.Vector3Test#<stmt2>	Renamed	-	com/badlogic/gdx/math/Vector3Test.java	15	09dbfcf21bdb8481	
member	com.badlogic.gdx.math.Vector4Test#<stmt1>	lowlevel.math.Vector4Test#<stmt1>	Renamed	-	com/badlogic/gdx/math/Vector4Test.java	10	d891bc5599b7374b	
member	com.badlogic.gdx.math.Vector4Test#<stmt2>	lowlevel.math.Vector4Test#<stmt2>	Renamed	-	com/badlogic/gdx/math/Vector4Test.java	15	9c401afd1955933d	
